freq                    ,Gain                    ,Phase                   
100,21.54102094,-0.296233708
102.3292992,21.54218317,-0.303305338
104.7128548,21.5434003,-0.310553996
107.1519305,21.54467492,-0.317984691
109.6478196,21.54600977,-0.325602612
112.2018454,21.54740768,-0.333413139
114.8153621,21.54887165,-0.341421852
117.4897555,21.55040481,-0.349634536
120.2264435,21.55201043,-0.3580572
123.0268771,21.55369197,-0.366696081
125.8925412,21.555453,-0.375557662
128.8249552,21.55729731,-0.384648679
131.8256739,21.55922885,-0.393976138
134.8962883,21.56125176,-0.40354733
138.0384265,21.56337037,-0.413369845
141.2537545,21.56558924,-0.423451589
144.5439771,21.56791313,-0.433800802
147.9108388,21.57034702,-0.444426076
151.3561248,21.57289616,-0.455336376
154.8816619,21.57556602,-0.46654106
158.4893192,21.57836235,-0.478049903
162.1810097,21.58129118,-0.489873123
165.9586907,21.58435881,-0.502021403
169.8243652,21.58757187,-0.514505923
173.7800829,21.59093729,-0.527338389
177.827941,21.59446234,-0.540531062
181.9700859,21.59815464,-0.554096797
186.2087137,21.60202219,-0.568049077
190.5460718,21.60607336,-0.582402052
194.98446,21.61031693,-0.597170584
199.5262315,21.61476213,-0.612370288
204.1737945,21.61941861,-0.628017585
208.9296131,21.6242965,-0.644129752
213.796209,21.62940642,-0.660724978
218.7761624,21.63475952,-0.677822426
223.8721139,21.64036749,-0.695442293
229.0867653,21.64624259,-0.713605887
234.4228815,21.65239769,-0.732335696
239.8832919,21.65884629,-0.751655469
245.4708916,21.66560255,-0.771590306
251.1886432,21.67268133,-0.79216675
257.0395783,21.68009823,-0.813412887
263.0267992,21.68786964,-0.835358453
269.1534804,21.69601273,-0.858034957
275.4228703,21.70454557,-0.881475801
281.8382931,21.71348709,-0.90571642
288.4031503,21.7228572,-0.930794431
295.1209227,21.73267679,-0.956749789
301.995172,21.74296783,-0.983624962
309.0295433,21.75375338,-1.011465117
316.227766,21.76505767,-1.040318325
323.5936569,21.77690618,-1.070235777
331.1311215,21.78932567,-1.101272024
338.8441561,21.80234428,-1.133485235
346.7368505,21.81599162,-1.16693748
354.8133892,21.8302988,-1.201695029
363.0780548,21.84529855,-1.237828691
371.5352291,21.86102531,-1.27541417
380.1893963,21.87751532,-1.314532461
389.045145,21.89480674,-1.355270279
398.1071706,21.91293971,-1.397720526
407.3802778,21.93195653,-1.441982801
416.8693835,21.95190174,-1.488163964
426.5795188,21.97282228,-1.536378743
436.5158322,21.99476761,-1.586750408
446.6835922,22.01778987,-1.639411502
457.0881896,22.04194405,-1.69450465
467.7351413,22.06728815,-1.752183446
478.6300923,22.09388338,-1.81261343
489.7788194,22.12179434,-1.875973156
501.1872336,22.15108925,-1.942455387
512.861384,22.18184017,-2.012268395
524.8074602,22.21412324,-2.085637413
537.0317964,22.24801897,-2.162806238
549.5408739,22.28361247,-2.244039006
562.3413252,22.32099383,-2.32962217
575.4399373,22.36025836,-2.419866688
588.8436554,22.40150703,-2.51511048
602.5595861,22.44484678,-2.615721149
616.5950019,22.49039096,-2.722099034
630.9573445,22.5382598,-2.834680634
645.654229,22.58858082,-2.953942431
660.693448,22.64148941,-3.080405207
676.0829754,22.69712934,-3.214638895
691.8309709,22.75565338,-3.357268055
707.9457844,22.81722394,-3.508978068
724.4359601,22.88201378,-3.670522156
741.3102413,22.95020674,-3.842729356
758.577575,23.02199856,-4.026513597
776.2471166,23.09759772,-4.222884063
794.3282347,23.17722641,-4.432957042
812.8305162,23.26112148,-4.657969523
831.7637711,23.34953553,-4.899294822
851.1380382,23.44273798,-5.15846061
870.96359,23.54101623,-5.437169739
891.2509381,23.6446769,-5.737324389
912.0108394,23.75404704,-6.061054142
